epsilon,lambda,CTX,SSI,ERR(RA)
3.3,0.7,0.06656,0.888258,0.98284
3.3,0.8,0.08058,0.907633,0.984615
3.3,0.9,0.0894,0.911817,0.984235
3.3,1.0,0.09722,0.92823,0.985052
3.4,0.1,0.05037,0.803645,0.986558
3.4,0.2,0.05307,0.815351,0.985447
3.4,0.3,0.05878,0.804104,0.986064
3.4,0.4,0.06149,0.853423,0.985944
3.4,0.5,0.06392,0.842488,0.986319
3.4,0.6,0.06781,0.871218,0.987297
3.4,0.7,0.07236,0.883,0.986722
3.4,0.8,0.07846,0.894698,0.985414
3.4,0.9,0.0872,0.914634,0.984744
3.4,1.0,0.09638,0.924366,0.98594
3.5,0.1,0.05002,0.823716,0.989091
3.5,0.2,0.05487,0.796832,0.987825
3.5,0.3,0.05729,0.822721,0.988154
3.5,0.4,0.0622,0.839002,0.986854
3.5,0.5,0.06413,0.858183,0.987439
3.5,0.6,0.06759,0.883591,0.985933
3.5,0.7,0.07119,0.891866,0.987037
3.5,0.8,0.07369,0.90329,0.984822
3.5,0.9,0.08847,0.912724,0.987652
3.5,1.0,0.0983,0.924489,0.988175
3.6,0.1,0.05038,0.80772,0.989162
3.6,0.2,0.0533,0.821436,0.988231
3.6,0.3,0.05752,0.826615,0.988755
3.6,0.4,0.06035,0.837781,0.987605
3.6,0.5,0.0654,0.839665,0.989858
3.6,0.6,0.0677,0.884151,0.988897
3.6,0.7,0.07456,0.88705,0.986413
3.6,0.8,0.08187,0.892741,0.987951
3.6,0.9,0.08917,0.911699,0.987172
3.6,1.0,0.09597,0.91917,0.988127
3.7,0.1,0.04921,0.812647,0.988526
3.7,0.2,0.0537,0.806323,0.99046
3.7,0.3,0.05578,0.823664,0.989871
3.7,0.4,0.06125,0.836125,0.988395
3.7,0.5,0.06055,0.850446,0.990538
3.7,0.6,0.06639,0.881972,0.990144
3.7,0.7,0.07007,0.886802,0.989315
3.7,0.8,0.07799,0.906997,0.989072
3.7,0.9,0.09042,0.922606,0.989533
3.7,1.0,0.09869,0.920426,0.987372
3.8,0.1,0.05086,0.801218,0.989779
3.8,0.2,0.0555,0.80788,0.990174
3.8,0.3,0.05715,0.811625,0.989219
3.8,0.4,0.06356,0.834389,0.98929
3.8,0.5,0.06244,0.855477,0.990269
3.8,0.6,0.06598,0.8715,0.990017
3.8,0.7,0.07209,0.900953,0.989964
3.8,0.8,0.07891,0.903907,0.989554
3.8,0.9,0.08579,0.910606,0.990279
3.8,1.0,0.09604,0.918078,0.990096
3.9,0.1,0.05176,0.789722,0.991261
3.9,0.2,0.05487,0.818305,0.991032
3.9,0.3,0.05791,0.829454,0.991528
3.9,0.4,0.06338,0.839647,0.991859
3.9,0.5,0.06221,0.843224,0.990834
3.9,0.6,0.06966,0.864339,0.992517
3.9,0.7,0.0693,0.879714,0.990519
3.9,0.8,0.08009,0.900183,0.992224
3.9,0.9,0.09002,0.919106,0.991619
3.9,1.0,0.09301,0.912089,0.989988
4.0,0.1,0.04843,0.816574,0.991426
4.0,0.2,0.05219,0.815853,0.992189
4.0,0.3,0.05597,0.821492,0.99308
4.0,0.4,0.0589,0.836183,0.992316
4.0,0.5,0.06187,0.847998,0.993263
4.0,0.6,0.06307,0.878121,0.991967
4.0,0.7,0.06918,0.887619,0.990961
4.0,0.8,0.07599,0.890167,0.991417
4.0,0.9,0.08634,0.910672,0.992785
4.0,1.0,0.09533,0.926088,0.992169
4.1,0.1,0.05197,0.805838,0.992723
4.1,0.2,0.05369,0.796926,0.992679
4.1,0.3,0.05823,0.820974,0.991896
4.1,0.4,0.05975,0.827545,0.993586
4.1,0.5,0.06213,0.844008,0.992526
4.1,0.6,0.06586,0.880739,0.992686
4.1,0.7,0.07172,0.890567,0.992581
4.1,0.8,0.07538,0.887299,0.991869
4.1,0.9,0.08718,0.922119,0.992241
4.1,1.0,0.09452,0.92143,0.992421
4.2,0.1,0.04967,0.818437,0.993049
4.2,0.2,0.05039,0.80475,0.994563
4.2,0.3,0.0567,0.821839,0.992863
4.2,0.4,0.06376,0.829024,0.993198
4.2,0.5,0.06186,0.857486,0.993574
4.2,0.6,0.06552,0.880609,0.993611
4.2,0.7,0.0696,0.902575,0.993321
4.2,0.8,0.08056,0.906056,0.994073
4.2,0.9,0.08703,0.921734,0.994154
4.2,1.0,0.09772,0.926168,0.99365
4.3,0.1,0.05045,0.796243,0.994778
4.3,0.2,0.05424,0.808696,0.994334
4.3,0.3,0.05524,0.81884,0.99477
4.3,0.4,0.05973,0.83459,0.993926
4.3,0.5,0.06517,0.849721,0.994153
4.3,0.6,0.06633,0.86929,0.994326
4.3,0.7,0.0696,0.891924,0.994405
4.3,0.8,0.07982,0.895262,0.995308
4.3,0.9,0.09253,0.928207,0.993353
4.3,1.0,0.09415,0.923888,0.993157
4.4,0.1,0.05038,0.783923,0.994965
4.4,0.2,0.05084,0.817779,0.994266
4.4,0.3,0.05641,0.820169,0.994918
4.4,0.4,0.05885,0.8326,0.994429
4.4,0.5,0.06271,0.838675,0.9951
4.4,0.6,0.06596,0.884983,0.994663
4.4,0.7,0.06951,0.896047,0.995173
4.4,0.8,0.07873,0.901346,0.994475
4.4,0.9,0.09025,0.911254,0.995255
4.4,1.0,0.09796,0.916745,0.994954
4.5,0.1,0.05333,0.794048,0.995878
4.5,0.2,0.05245,0.81856,0.994857
4.5,0.3,0.05534,0.825464,0.995094
4.5,0.4,0.06008,0.843956,0.994047
4.5,0.5,0.06216,0.843163,0.99491
4.5,0.6,0.06398,0.881373,0.996451
4.5,0.7,0.06886,0.890792,0.995299
4.5,0.8,0.08008,0.902255,0.995314
4.5,0.9,0.08232,0.916779,0.995328
4.5,1.0,0.09416,0.922984,0.994497
4.6,0.1,0.05363,0.801137,0.995152
4.6,0.2,0.0517,0.813152,0.996159
4.6,0.3,0.05754,0.805688,0.99591
4.6,0.4,0.05843,0.849253,0.995466
4.6,0.5,0.06171,0.856242,0.996553
4.6,0.6,0.06709,0.87976,0.996075
4.6,0.7,0.07035,0.883971,0.995376
4.6,0.8,0.07978,0.91023,0.995585
4.6,0.9,0.08681,0.915255,0.995398
4.6,1.0,0.09712,0.923802,0.995177
4.7,0.1,0.04942,0.816357,0.995668
4.7,0.2,0.05166,0.80268,0.996
4.7,0.3,0.05533,0.823028,0.996479
4.7,0.4,0.05871,0.823117,0.995642
4.7,0.5,0.06596,0.850227,0.995557
4.7,0.6,0.06456,0.878238,0.994729
